patch_name,correctness,prediction
Math_6_SimFix_patch_97949_1.diff,overfitting,overfitting
Closure_126_jKali_patch_12000_4.diff,overfitting,overfitting
Math_50_SimFix_patch_1472629_6.diff,overfitting,overfitting
Chart_1_jGenProg_patch_2065000_7748.diff,overfitting,overfitting
Math_33_kPAR_Patch_568058_71_cp4.diff,overfitting,overfitting
Math_85_jGenProg_patch_1664000_3292.diff,overfitting,overfitting
Lang_59_jGenProg_patch_1421752_10608.diff,overfitting,overfitting
Lang_59_jGenProg_patch_1089407_8148.diff,overfitting,overfitting
Lang_63_jGenProg_patch_1855942_2592.diff,overfitting,overfitting
Closure_62_Avatar_Patch_1915964_43.diff,overfitting,correct
Math_81_jGenProg_patch_2963000_2210.diff,overfitting,overfitting
Math_41_dynamoth_patch_771199_21.diff,overfitting,overfitting
Math_80_jGenProg_patch_2852000_3128.diff,overfitting,overfitting
Math_50_jGenProg_patch_989000_276.diff,overfitting,overfitting
Math_69_Nopol_patch_16126_3.diff,overfitting,overfitting
Lang_59_jGenProg_patch_34000_156.diff,overfitting,overfitting
Chart_15_jGenProg_patch_1115000_4210.diff,overfitting,overfitting
Math_82_jGenProg_patch_2510000_10256.diff,overfitting,overfitting
Math_81_jGenProg_patch_291000_406.diff,overfitting,overfitting
Math_50_SimFix_patch_173292_2.diff,overfitting,overfitting
Closure_126_jKali_patch_65000_22.diff,overfitting,overfitting
Chart_25_Avatar_Patch_766480_91.diff,overfitting,overfitting
Lang_46_Nopol_patch_17983_1.diff,overfitting,correct
Closure_62_dynamoth_patch_48155_1.diff,overfitting,correct
Time_11_TBar_Patch_356943_60_cp22.diff,overfitting,overfitting
Lang_58_kPAR_Patch_2856743_336_cp256.diff,overfitting,overfitting
Math_81_jGenProg_patch_528000_724.diff,overfitting,overfitting
Math_80_jGenProg_patch_1117000_1830.diff,overfitting,overfitting
Lang_43_jGenProg_patch_76000_32.diff,overfitting,overfitting
Lang_58_kPAR_Patch_2234107_279_cp199.diff,overfitting,overfitting
Math_50_Avatar_Patch_172358_5.diff,overfitting,correct
Closure_62_Avatar_Patch_830416_11.diff,overfitting,overfitting
Math_50_Nopol_patch_217308_1.diff,overfitting,correct
Lang_59_jGenProg_patch_541000_4258.diff,overfitting,overfitting
Math_33_Nopol_patch_276314_4.diff,overfitting,overfitting
Math_82_jGenProg_patch_1907000_8688.diff,overfitting,overfitting
Lang_58_kPAR_Patch_1780577_226_cp158.diff,overfitting,overfitting
Math_80_jGenProg_patch_3304000_3404.diff,overfitting,overfitting
Lang_59_jGenProg_patch_929890_6932.diff,overfitting,overfitting
Lang_59_jGenProg_patch_1431676_10624.diff,overfitting,overfitting
Chart_25_jGenProg_patch_36000_80.diff,overfitting,overfitting
Lang_58_kPAR_Patch_858059_126_cp74.diff,overfitting,overfitting
Math_50_kPAR_Patch_2850190_101_cp80.diff,overfitting,overfitting
Chart_15_TBar_Patch_1501916_247_cp127.diff,overfitting,overfitting
Math_32_dynamoth_patch_258165_1.diff,overfitting,overfitting
Lang_51_TBar_Patch_2980448_353_cp279.diff,overfitting,overfitting
Closure_46_jGenProg_patch_1775000_4292.diff,overfitting,overfitting
Lang_33_TBar_Patch_299663_49_cp30.diff,overfitting,correct
Math_80_jGenProg_patch_962000_1672.diff,overfitting,overfitting
Math_30_TBar_Patch_1906900_115_cp51.diff,overfitting,overfitting
Math_33_dynamoth_patch_252118_1.diff,overfitting,overfitting
Math_8_SimFix_patch_200772_1.diff,overfitting,overfitting
Chart_7_TBar_Patch_127496_10_cp10.diff,overfitting,overfitting
Math_85_jMutRepair_patch_84000_100.diff,overfitting,overfitting
Chart_15_FixMiner_Patch_445705_186.diff,overfitting,overfitting
Lang_58_TBar_Patch_1576486_306_cp153.diff,overfitting,overfitting
Math_73_SimFix_patch_367554_1.diff,overfitting,overfitting
Math_82_jGenProg_patch_870000_4332.diff,overfitting,overfitting
Lang_58_TBar_Patch_1557203_304_cp151.diff,overfitting,overfitting
Math_50_kPAR_Patch_961688_30_cp24.diff,overfitting,overfitting
Math_50_SimFix_patch_703337_5.diff,overfitting,overfitting
Lang_51_jMutRepair_patch_19196_47.diff,overfitting,overfitting
